,NMF_0,NMF_1,NMF_2,NMF_3,NMF_4,NMF_5,NMF_6,NMF_7,NMF_8,NMF_9,NMF_10,NMF_11,NMF_12,NMF_13,NMF_14,NMF_15,NMF_16,NMF_17,NMF_18
ATP1A2,0.0,0.08470382279168309,0.0,0.012444736014412964,0.06996439851497142,0.020050582168317614,0.0,0.0,0.0,0.0,0.0032495549826846103,0.0,0.17888523832072467,0.0,0.2683547842623423,0.0031633061073681073,0.02521626206233387,0.0,0.0
CD84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11879453197004251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FCGR2A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11752671834512558,0.0,0.0,0.0,0.0,0.0020056783606126538,0.0,0.0023053090900061923,0.0,0.0,0.0
HSPA6,0.0,0.00019342028998523052,0.0,0.0,0.006474936251305612,0.0,0.0010033875711852368,0.0,0.01471726351465896,0.0,0.0,0.0001012280688819054,0.0,0.002969177046429172,0.0009931314213809418,0.003029990159936741,0.0,0.0,0.0
FCGR3A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0901750447899862,0.0,0.0,0.0,0.0,0.001210359863052709,0.0,0.0,0.0,0.0,0.0
FCGR2B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008187169190438975,0.0,0.0,0.0,0.0,0.0006827482185696289,0.0,7.29231704868311e-05,0.0,0.0,0.0
RGS5,0.2410265767218019,0.0,0.014038779581976576,0.026519446729444052,0.0,0.02277509627007837,0.0,0.0,0.0,0.025814427003994417,0.0063074019942457255,0.0,0.010772146190132734,0.0066631758944387855,0.2603893666966523,0.021057056436638983,0.022814272084935812,0.0029660480725588597,0.014055903141528407
RCSD1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21665577474793044,0.0,0.028450801293998615,0.0,0.0,0.0,0.09776700095579104,0.0,0.0,0.005992335094775433,0.0
SELE,0.0,0.0,0.0,0.0,0.0015238574143240354,0.0007017439703291592,0.0,0.0004737208611913861,0.0,0.0,0.0003138247746700466,0.0,0.0,0.0009723748420257758,0.021685707638713022,0.0003987544791616842,0.0014171641768885696,0.0,0.0
FMO2,0.0,0.0010196585344625876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005916045410126848,0.00020049555497440963,0.0654706320422301,0.0009752220614888044,0.0,0.0,0.0006438060810705916
TNR,0.23805078891708067,0.5354731272489414,0.0,0.0,0.33914025671015385,0.8343814608499965,0.5364746277400968,0.0,0.0,0.0,0.3104225555928924,0.0,0.0,0.0,0.0,0.0,0.7157585546610292,0.10116261360764425,0.0
LINC01344,0.023322619009549597,0.0016367919169145788,0.0,0.0,0.019051375475289557,0.0,0.07680349359109906,0.0023444021725731847,0.0,0.07412389912381913,0.0,0.0,0.006805047080497209,0.0,0.0016947538347870904,0.011352974666193883,0.0,0.0,0.0
GLUL,0.019065695879854273,0.007087522499549372,0.11485227543602652,0.00500802766709826,0.0,0.0,0.0036620521005106743,0.0,0.0756211365873169,0.6950254738609526,0.0,0.020581820099645577,0.14887097751461756,0.018208452039335566,0.08856802976519669,0.37001456054820797,0.0,0.0,0.0
NPL,0.0025923419935673796,0.037237659500201914,0.01594129058399465,0.0,0.06253214161682125,0.03668967181521315,0.05506432972313904,0.004493079581016826,0.25933108795033666,0.0179655542901543,0.0003285623905415547,0.004969502195383478,0.11773521393692778,0.0,0.0,0.020329671705612038,0.00892399663096455,0.0018409381081121272,0.0
NCF2,0.00022935205019514716,0.0,0.0,0.0,0.0017336583277490069,0.0007270936315256058,0.0001321268087210755,0.0,0.03480646847101145,0.0001443177728031916,7.837418655994076e-06,0.0002558403748908834,6.1917766524785755e-06,1.3695735759444878e-05,0.00014884794995252842,0.0006716505258895975,0.00046807808405364737,0.0,0.0
FAM129A,0.0,0.0,0.0,0.0,0.011400836432273173,0.0,0.0,0.0,0.047595542787872654,0.0,0.0,0.0,0.0,0.010356748861388676,0.025389998976705914,0.0015258765069506236,0.0,0.0,0.0
HMCN1,0.0009610119371870062,0.0,0.0,0.0,0.00676653726788398,0.0022258398073854474,0.0,0.005104132830685032,0.0,0.0,0.0,0.0009476626582231359,0.0,0.0,0.13708063637708898,0.001925186275590562,0.0001660787606832654,0.0009840310529930527,0.0
PTGS2,0.003591202103557835,0.0,0.0,0.0008923731703550205,0.0,0.02328829829610452,0.0,0.0,0.002574230999219505,0.0,0.00401113711261318,0.0,0.0,0.0004527563062373629,0.03248538474816615,0.0,0.027132121436150222,0.003944467099736623,0.0
PLA2G4A,0.0022616036751086934,0.0,0.0,0.0,0.001618238639594093,0.13107099902417618,0.0,0.0,0.23197174645933952,0.0,0.0,0.0,0.0,0.0,0.11199597438829166,0.0,0.09267240982090923,0.0008490691139565913,0.0
BRINP3,0.032552131952886885,0.37788296429905516,0.0,0.0,0.3136525160966929,0.8595106800841761,0.0,0.0,0.0,0.0,0.4082699739061549,0.20938253982404828,0.11813332809248406,0.0,0.0,0.0,0.6144499170571572,0.13534042656942843,0.0
RGS18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.055382347762309596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RGS1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0423268229058154e-05,0.16712377114912388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
